"playlist_name	playlist_owner_name	playlist_owner_url	number_track	playlist_posted_time	playlist_likes",,,,
"Piano Deep Concentration	Nitza Md	https://soundcloud.com/nitza-md	49	2016-04-07	108K",,,,
"lofi 4 studying	suri	https://soundcloud.com/suricolbert	88	2017-02-20	72.6K",,,,
"Instrumental - Patterns	Agamidae	https://soundcloud.com/agamidae	38	2016-01-30	71.1K",,,,
"Jazz hip 4	soo	https://soundcloud.com/yourparadis	36	2018-11-23	90.4K",,,,
"Stella's Coffee House	Mah	https://soundcloud.com/mzn665	47	2016-02-17	130K",,,,
Study, Chill, Relax," Gaming ~ Audible Adderall #14	MugaTunes	https://soundcloud.com/mugatunesofficial	65	2018-08-27	69.6K",
"Winter Night Jazz	ilovehanriver	https://soundcloud.com/hanriverlove	18	2019-10-31	4",46,,,
"concentrating classic	lolovvveee2	https://soundcloud.com/lolollov2	14	2018-09-11	27.8K",,,,
"Lofi	weeby	https://soundcloud.com/user-692461400	153	2017-03-08	15.2K",,,,
"Beautiful Sounds	BellaMendes	https://soundcloud.com/ellaendes	50	2015-06-08	51.5K",,,,
"Jazz hip 6	soo	https://soundcloud.com/yourparadis	20	2018-12-11	42.9K",,,,
"Breeze	Yeonkkot	https://soundcloud.com/yeonkkot	25	2017-05-02	74.9K",,,,
"Winter Night Jazz #2	ilovehanriver	https://soundcloud.com/hanriverlove	26	2019-11-02	7",476,,,
"CHILL STUDY VIBES	alkhaw	https://soundcloud.com/alkhaw	28	2017-03-10	89.2K",,,,
"Ambient piano	Agamidae	https://soundcloud.com/agamidae	14	2016-02-04	132K",,,,
"Jazz hip	soo	https://soundcloud.com/yourparadis	14	2017-11-12	84.4K",,,,
"Favorites	Yeonkkot	https://soundcloud.com/yeonkkot	54	2017-08-19	17K",,,,
Study, Chill, Relax," Gaming ~ Audible Adderall #7	MugaTunes	https://soundcloud.com/mugatunesofficial	56	2016-04-04	57.5K",
Study, Chill, Relax," Gaming ~ Audible Adderall #10	MugaTunes	https://soundcloud.com/mugatunesofficial	49	2016-10-10	8",505
Study, Chill, Relax," Gaming ~ Audible Adderall #15	MugaTunes	https://soundcloud.com/mugatunesofficial	60	2018-10-16	13.7K",
Read more," Write more	Ulana	https://soundcloud.com/itsulana	25	2015-10-24	39K",,,
"Instrumental 7 - Flow	Agamidae	https://soundcloud.com/agamidae	19	2016-07-21	34.7K",,,,
"Morning	Yeonkkot	https://soundcloud.com/yeonkkot	29	2017-12-22	47.9K",,,,
"Study & Chill | Lofi Hiphop	the bootleg boy	https://soundcloud.com/dabootlegboy	21	2018-09-03	84.9K",,,,
"STUDYღ	Gravitation	https://soundcloud.com/gravitation17	14	2017-01-16	8",881,,,
"Best of Deep House (Vol. 02)	Westcoast Radio (EDM)	https://soundcloud.com/digitalstreams	30	2017-07-01	120K",,,,
"jazzy night	User 101682266	https://soundcloud.com/tb3dvuqu1ugs	14	2019-08-18	30.7K",,,,
"Tropixaton | Finals Antidote vol. 3	GoodVibesOnly	https://soundcloud.com/thegvofund	81	2017-05-01	40.6K",,,,
"the best fucking revision playlist ever	e m i l y c h	https://soundcloud.com/emlayting	55	2015-04-14	9",759,,,
"The Last Chillstep Playlist You'll Ever Need (8Tracks)	Adrien Brunelat	https://soundcloud.com/adrien-brunelat	76	2015-01-27	73.7K",,,,
"Music For Concentration	Tracklist	https://soundcloud.com/user-221702713	21	2016-08-26	23.9K",,,,
"You are my autumn	ilovehanriver	https://soundcloud.com/hanriverlove	22	2020-09-03	1",349,,,
"beauty inside	soo	https://soundcloud.com/yourparadis	21	2019-01-29	12.7K",,,,
"ritalin induced music taste	knysna	https://soundcloud.com/knysnajjmg	73	2017-01-13	7",455,,,
"Spring's Coming	Yeonkkot	https://soundcloud.com/yeonkkot	22	2017-03-17	26.8K",,,,
"Study	katardios	https://soundcloud.com/katardios	12	2019-08-05	1",411,,,
"Epic Heights	Agamidae	https://soundcloud.com/agamidae	19	2016-04-19	5",12,,,
"Instrumental 6 - Swirling	Agamidae	https://soundcloud.com/agamidae	15	2016-07-05	16K",,,,
"Study Electronic Chill	Randy Gerard C R	https://soundcloud.com/randy-gerard-c-r	38	2013-11-09	10.3K",,,,
"Chill	Yeonkkot	https://soundcloud.com/yeonkkot	31	2017-03-30	34.7K",,,,
"STUDY	mcatiu	https://soundcloud.com/bukopan	53	2017-01-09	3",944,,,
"Rainy Day	so.phree	https://soundcloud.com/sdoukas	23	2016-11-30	39.7K",,,,
"Late Night Lofi	ilyana azman	https://soundcloud.com/ilyanaazman	42	2017-08-14	35.4K",,,,
"Study Playlist // November	mskathyhoang	https://soundcloud.com/mskathyhoang	17	2015-11-08	2",644,,,
"Study 2018	Playlists Daily	https://soundcloud.com/partyplaylists69	40	2018-10-28	4",809,,,
"Best Of MrSuicideSheep	ilyana azman	https://soundcloud.com/ilyanaazman	46	2018-11-28	13.1K",,,,
"Fuck Finals	Greg Korngut	https://soundcloud.com/greg-korngut	39	2015-12-06	6",167,,,
"Best of Saxxy House (2020)	Westcoast Radio (EDM)	https://soundcloud.com/digitalstreams	40	2015-10-25	51K",,,,
"Best Chill Trap	Westcoast Radio (EDM)	https://soundcloud.com/digitalstreams	32	2017-08-25	91.3K",,,,
"The perfect hour (8Tracks)	Adrien Brunelat	https://soundcloud.com/adrien-brunelat	12	2015-07-02	1",523,,,
"Best Of Chill Nation	ilyana azman	https://soundcloud.com/ilyanaazman	119	2017-05-10	211K",,,,
"T-4 Techno	Westcoast Radio (EDM)	https://soundcloud.com/digitalstreams	30	2017-07-28	47.1K",,,,
"Workout 2018	Playlists Daily	https://soundcloud.com/partyplaylists69	46	2018-10-28	27.5K",,,,
"Motivational Rap	Khushpreet Singh	https://soundcloud.com/khushpreet-singh-6	43	2014-11-22	51.1K",,,,
"Best Of MrRevillz	ilyana azman	https://soundcloud.com/ilyanaazman	134	2017-05-01	91.1K",,,,
"Workout Playlist - PURE ADRENALINE	MugaTunes	https://soundcloud.com/mugatunesofficial	15	2018-02-07	120K",,,,
"work out or get out.	maddieparrot	https://soundcloud.com/maddieparrot	45	2014-11-23	57.8K",,,,
"#JoinTheFitnation	Fitnation Egypt	https://soundcloud.com/fitnation-egypt	11	2016-11-28	67.7K",,,,
"pre work out 2017	user154907890	https://soundcloud.com/user154907890	12	2017-01-28	114K",,,,
"Run	YVK7	https://soundcloud.com/electro_selekta_project	15	2017-01-19	68.5K",,,,
"Best of Deep House (Vol. 02)	Westcoast Radio (EDM)	https://soundcloud.com/digitalstreams	15	2017-07-01	120K",,,,
"Best of Trap & Bass	Westcoast Radio	https://soundcloud.com/westcoastradiotv	15	2015-05-23	44.5K",,,,
"Workout- Rap/ Hip Hop	OTFworld	https://soundcloud.com/walia-harsimron	13	2015-04-30	69K",,,,
"sport motivation mood	Nathaxn	https://soundcloud.com/nathaxn	12	2016-10-29	30.7K",,,,
"PumpTheBeat.com Presents: Weekend Workout Vol. 17	Lowest Ends	https://soundcloud.com/lowestends	15	2015-08-04	16.9K",,,,
"#Workout #Electronic	Tere Mancha	https://soundcloud.com/tere-mancha	15	2014-05-22	21K",,,,
"Playlist 001 (Hard beats) - Gold's Gym Egypt	Golds' Gym Egypt Radio	https://soundcloud.com/goldsgymegypt	13	2015-12-07	90.3K",,,,
"Motivated Music - May 2016	FitnusLife	https://soundcloud.com/fitnuslife	15	2016-05-02	46K",,,,
EFC: Volume 21," 2017	Electric Flight Crew	https://soundcloud.com/electric-flight-crew	15	2017-05-20	15.2K",,,
"Best of Saxxy House (2020)	Westcoast Radio (EDM)	https://soundcloud.com/digitalstreams	15	2015-10-25	51K",,,,
"HARDCORE WORKOUT #1	SCI-MX Nutrition	https://soundcloud.com/sci-mx-nutrition	15	2015-09-01	9",567,,,
"They don't want us to work out	Josh Ahdoot	https://soundcloud.com/joshahdoot	15	2015-12-03	4",413,,,
"G	Ḿᶙᶊᶏẃᶓᵳ Ḧᶶᵴᶊᶐᵻᶇᶇ	https://soundcloud.com/musawerhussain	11	2016-12-06	2",245,,,
EFC: Volume 44," 2017	Electric Flight Crew	https://soundcloud.com/electric-flight-crew	15	2017-10-30	2",137,,
"GYM	MohamƎd NagƎb ♫ ♪♪ ♫	https://soundcloud.com/mohamed-nageb-3	12	2016-07-03	5",110,,,
"Motivated Music - July 2016	FitnusLife	https://soundcloud.com/fitnuslife	15	2016-07-07	10K",,,,
"PumpTheBeat.com Presents: Weekend Workout Vol. 4	Lowest Ends	https://soundcloud.com/lowestends	12	2014-12-27	32.1K",,,,
"Trap -A- Holics	Westcoast Radio (EDM)	https://soundcloud.com/digitalstreams	31	2016-02-05	13.5K",,,,
EFC: Volume 20," 2017	Electric Flight Crew	https://soundcloud.com/electric-flight-crew	15	2017-05-14	19.3K",,,
"Best of Tech House (2020)	Westcoast Radio (EDM)	https://soundcloud.com/digitalstreams	15	2016-01-26	42.4K",,,,
"Workout Playlist - March 2017 #BBGSouthAfrica	JHBeats	https://soundcloud.com/jhbeats-984518194	13	2017-03-21	1",859,,,
"Summer Vibes	ilovehanriver	https://soundcloud.com/hanriverlove	15	2020-04-13	2",720,,,
"Workout	DJ TÄG3R	https://soundcloud.com/dj-tag3r	15	2016-10-28	7",476,,,
"gym workout	Max Twiza	https://soundcloud.com/max-twiza	12	2016-09-28	1",425,,,
"Workout EDM 10	GusManke	https://soundcloud.com/gusmanke	15	2015-10-12	28.8K",,,,
"Workout	Mike Fecht	https://soundcloud.com/mike-fecht	15	2016-09-08	2",902,,,
"gym	Sherif Shabrawy 1	https://soundcloud.com/sherif-shabrawy-1	11	2017-02-14	3",151,,,
"TheSoundYouNeed	ilyana azman	https://soundcloud.com/ilyanaazman	15	2017-10-22	40.4K",,,,
EFC: Volume 12," 2017	Electric Flight Crew	https://soundcloud.com/electric-flight-crew	18	2017-03-18	20.9K",,,
"Best of House Music (Vol. 01)	Westcoast Radio (EDM)	https://soundcloud.com/digitalstreams	30	2015-02-22	79.7K",,,,
"Workout 1	midnite786	https://soundcloud.com/mohammed-waqas-anwar	12	2017-01-16	891",,,,
"chill your mind	User 101682266	https://soundcloud.com/tb3dvuqu1ugs	15	2019-07-26	4",321,,,
"#1 Workout MIX	Westcoast Radio (EDM)	https://soundcloud.com/digitalstreams	15	2017-10-02	19.9K",,,,
EFC: Volume 1," 2018	Electric Flight Crew	https://soundcloud.com/electric-flight-crew	13	2017-12-31	4",897,,
EFC: Volume 15," 2017	Electric Flight Crew	https://soundcloud.com/electric-flight-crew	20	2017-04-08	3",636,,
EFC: Volume 17," 2017	Electric Flight Crew	https://soundcloud.com/electric-flight-crew	15	2017-04-22	810",,,
EFC: Volume 19," 2017	Electric Flight Crew	https://soundcloud.com/electric-flight-crew	18	2017-05-06	4",98,,
"Freeletics Workout Playlist	Freeletics Official	https://soundcloud.com/freeletics-official	15	2015-01-07	2",824,,,
"workout	irandie anderson	https://soundcloud.com/irandie-anderson	7	2017-02-17	1",343,,,
"Workout	Yxng Martian	https://soundcloud.com/josiah-espino	12	2017-03-27	2",63,,,
"Billies Sleep Sounds	Billie Kihega	https://soundcloud.com/billie-kihega	13	2017-02-16	30.4K",,,,
"Relax '♡'	ReHàß ♪♪	https://soundcloud.com/rehab-mohammed	50	2017-01-19	64.4K",,,,
"Sleep healing sounds	Jean Claude 5	https://soundcloud.com/jean-claude-4	13	2015-11-26	64.3K",,,,
"lofi/sleep	repaintable	https://soundcloud.com/yourwaifusad	170	2019-05-09	81.8K",,,,
"Nhac spa	Helen Pham	https://soundcloud.com/helen-pham-17	20	2020-04-10	11.5K",,,,
"listen	Rayna Rose	https://soundcloud.com/rayna-rose	12	2016-06-26	12K",,,,
"Beautiful Sounds	BellaMendes	https://soundcloud.com/ellaendes	50	2015-06-08	51.5K",,,,
"cosy night autumn	lolovvveee2	https://soundcloud.com/lolollov2	14	2018-09-08	81.7K",,,,
"Summer Nights	Serene	https://soundcloud.com/user-909490133	53	2016-06-25	72.2K",,,,
"Warmth | An Acoustic Mix	ilyana azman	https://soundcloud.com/ilyanaazman	12	2018-09-10	9",359,,,
"jazzhip 7	soo	https://soundcloud.com/yourparadis	45	2019-03-02	110K",,,,
"chilling	2Ϙ.	https://soundcloud.com/seven75-1	79	2015-06-25	27K",,,,
"Bed Bug Classic #2	Egemannen	https://soundcloud.com/egemannen	15	2014-12-08	45.8K",,,,
"Sleep	Kyler Smith1	https://soundcloud.com/kyler-smith1	45	2017-04-01	111K",,,,
"rainyday chill	soo	https://soundcloud.com/yourparadis	25	2019-06-17	17.9K",,,,
"jazzy night 2	User 101682266	https://soundcloud.com/tb3dvuqu1ugs	15	2019-10-04	29K",,,,
"Jazz hip	soo	https://soundcloud.com/yourparadis	14	2017-11-12	84.4K",,,,
"paradise	soo	https://soundcloud.com/yourparadis	33	2018-08-18	4",941,,,
"sunset lovers summer 2015&2014	kate linkous	https://soundcloud.com/katelinkous	35	2015-05-26	3",244,,,
"good night	Rina May Hilburn	https://soundcloud.com/rina-may-hilburn	17	2016-12-06	5",531,,,
"You are my autumn	ilovehanriver	https://soundcloud.com/hanriverlove	22	2020-09-03	1",349,,,
"Sad/Sleep songs	Marcelinethevampirequeen	https://soundcloud.com/freedskiers	11	2015-11-09	91.6K",,,,
"chill lo-fi	ilyana azman	https://soundcloud.com/ilyanaazman	25	2018-08-16	8",917,,,
Naruto | Chill Trap," Lofi Hip Hop Mix	ilyana azman	https://soundcloud.com/ilyanaazman	42	2018-08-19	10.4K",,,
"to help you sleep	jakewis	https://soundcloud.com/jakewis	19	2017-02-16	4",103,,,
"Best of Saxxy House (2020)	Westcoast Radio (EDM)	https://soundcloud.com/digitalstreams	40	2015-10-25	51K",,,,
"Rainy Days	SoiledLegs	https://soundcloud.com/soiledlegs	15	2015-05-18	8",577,,,
"warm winter night	lolovvveee2	https://soundcloud.com/lolollov2	19	2018-12-08	3",5,,,
"beauty inside	soo	https://soundcloud.com/yourparadis	21	2019-01-29	12.7K",,,,
"jazzy night	User 101682266	https://soundcloud.com/tb3dvuqu1ugs	14	2019-08-18	30.7K",,,,
"Late Night Lofi	ilyana azman	https://soundcloud.com/ilyanaazman	42	2017-08-14	35.4K",,,,
"catch some ZZZZZZ	Alex	https://soundcloud.com/alex-kirchens	75	2015-05-27	7",907,,,
"Jazz hip 6	soo	https://soundcloud.com/yourparadis	20	2018-12-11	42.9K",,,,
"Believe in the dream	and	https://soundcloud.com/cranky-wolves	13	2019-02-09	7",448,,,
"weed isn't allowed at rehab so I guess I'll listen to this instead	kate joss	https://soundcloud.com/kate-jb	13	2015-11-24	11.3K",,,,
"Eat.Sleep.Deep.Repeat.	SKΛSH	https://soundcloud.com/scott-asher	24	2015-03-14	13.7K",,,,
"sleepy	stella rae	https://soundcloud.com/stellaraee	79	2014-11-12	18.4K",,,,
"with you	soo	https://soundcloud.com/yourparadis	22	2019-04-12	2",678,,,
"sleepless night	User 101682266	https://soundcloud.com/tb3dvuqu1ugs	24	2019-10-11	1",369,,,
"Best Of TheFatRat	ilyana azman	https://soundcloud.com/ilyanaazman	42	2017-11-08	4",81,,,
"midnight jazz	User 101682266	https://soundcloud.com/tb3dvuqu1ugs	15	2019-11-16	1",671,,,
"hold this	sketshori	https://soundcloud.com/sketshori	25	2017-03-24	23.2K",,,,
"Calm Night Sky	MrTeddy	https://soundcloud.com/mrteddy_us	19	2015-03-30	18.7K",,,,
"sing you to sleep	rayfair	https://soundcloud.com/rayfair	9	2015-03-11	31.5K",,,,
Chilling," sleeping	Polina Vlassova	https://soundcloud.com/xpolina	23	2015-09-12	3",215,,
"Sex Appeal Vol. 5	SoundSupply	https://soundcloud.com/soundsupply-tm	12	2015-02-08	13.4K",,,,
"sleep/sad	eefje	https://soundcloud.com/xeefje	14	2015-01-11	4",533,,,
"Feeling U Feeling Me xx	isabella	https://soundcloud.com/isabellaamente	26	2015-10-13	9",659,,,
"Sleep Playlist	Blythe tK	https://soundcloud.com/blythe-tk	15	2015-08-25	10.8K",,,,
Study, Chill, Relax," Gaming ~ Audible Adderall #15	MugaTunes	https://soundcloud.com/mugatunesofficial	60	2018-10-16	13.7K",
